CustomerID,DateTime,BookToMarket,BusinessPosition,BusinessType,Businessvolume,EquipmentPrice,HoursUsage,Marketcap,MonthlyMaintenance,Noofdevices,NumberOfEmployees,ProductWeight,Profit,TotalRevenue,category,BusinessPosition_Stable,BusinessPosition_Growth,BusinessPosition_Decline,BusinessType_1,BusinessType_2,BusinessType_3,BusinessType_4,category_Power_Tools,category_Hilti_Services,category_Contractor_Services,category_Fastners_Firestop_Strut,Rank
98761259,Jun-18,0.77,Stable,1,2,8198,10,2,2927,38,75,247,0.51,2,Power Tools,1,0,0,1,0,0,0,1,0,0,0,3
98761259,Jun-18,0.71,Stable,1,2,2757,3,9,3715,15,75,512,0.58,5,Hilti Services,1,0,0,1,0,0,0,0,1,0,0,3
98761259,Jun-18,0.92,Stable,1,2,2254,12,2,2498,68,75,903,0.76,10,Contractor Services,1,0,0,1,0,0,0,0,0,1,0,3
98761259,Jun-18,2.18,Stable,1,1,5866,6,9,2701,16,75,376,0.34,8,Fastners Firestop Strut,1,0,0,1,0,0,0,0,0,0,1,2
98761260,Jun-18,1.66,Growth,1,2,3242,11,2,4769,55,33000,132,0.6,9,Power Tools,0,1,0,1,0,0,0,1,0,0,0,1
98761260,Jun-18,1.26,Growth,1,1,1812,12,5,1870,34,33000,261,0.68,1,Hilti Services,0,1,0,1,0,0,0,0,1,0,0,2
98761260,Jun-18,1.22,Growth,1,3,7206,13,5,4993,35,33000,738,0.64,6,Contractor Services,0,1,0,1,0,0,0,0,0,1,0,3
98761260,Jun-18,1.34,Growth,1,2,7368,2,6,1725,16,33000,646,0.68,8,Fastners Firestop Strut,0,1,0,1,0,0,0,0,0,0,1,2
98761261,Jun-18,0.85,Decline,1,3,4596,12,9,2474,42,90,210,0.45,3,Power Tools,0,0,1,1,0,0,0,1,0,0,0,3
98761261,Jun-18,1.12,Decline,1,1,2085,10,5,2627,61,90,351,0.22,5,Hilti Services,0,0,1,1,0,0,0,0,1,0,0,2
98761261,Jun-18,1.62,Decline,1,2,8091,12,5,655,11,90,426,0.27,2,Contractor Services,0,0,1,1,0,0,0,0,0,1,0,3
98761261,Jun-18,0.34,Decline,1,1,8118,8,10,537,12,90,211,0.93,2,Fastners Firestop Strut,0,0,1,1,0,0,0,0,0,0,1,1
98761262,Jun-18,2.21,Growth,1,1,3356,8,3,4580,50,3000,751,0.49,2,Power Tools,0,1,0,1,0,0,0,1,0,0,0,2
98761262,Jun-18,0.79,Growth,1,2,1323,11,10,1981,22,3000,524,0.62,6,Hilti Services,0,1,0,1,0,0,0,0,1,0,0,3
98761262,Jun-18,2.34,Growth,1,1,8244,5,3,1580,53,3000,376,0.42,5,Contractor Services,0,1,0,1,0,0,0,0,0,1,0,1
98761262,Jun-18,0.84,Growth,1,3,3483,16,7,3282,50,3000,808,0.62,5,Fastners Firestop Strut,0,1,0,1,0,0,0,0,0,0,1,1
98761263,Jun-18,2.82,Growth,1,1,2550,1,7,4452,70,750,421,0.39,10,Power Tools,0,1,0,1,0,0,0,1,0,0,0,2
98761263,Jun-18,1.21,Growth,1,3,1126,13,10,3570,45,750,227,0.12,2,Hilti Services,0,1,0,1,0,0,0,0,1,0,0,1
98761263,Jun-18,0.78,Growth,1,3,6920,3,7,1787,59,750,626,0.87,3,Contractor Services,0,1,0,1,0,0,0,0,0,1,0,2
98761263,Jun-18,2.25,Growth,1,1,8900,4,7,2992,42,750,676,0.67,1,Fastners Firestop Strut,0,1,0,1,0,0,0,0,0,0,1,2
98761264,Jun-18,1.68,Growth,1,2,9357,8,3,777,49,125,230,0.98,6,Power Tools,0,1,0,1,0,0,0,1,0,0,0,1
98761264,Jun-18,1.81,Growth,1,1,2709,11,5,3216,42,125,181,0.37,4,Hilti Services,0,1,0,1,0,0,0,0,1,0,0,1
98761264,Jun-18,2.77,Growth,1,1,6169,15,9,4202,13,125,335,0.62,4,Contractor Services,0,1,0,1,0,0,0,0,0,1,0,3
98761264,Jun-18,0.67,Growth,1,2,9973,3,1,4302,11,125,545,0.31,2,Fastners Firestop Strut,0,1,0,1,0,0,0,0,0,0,1,1
98761265,Jun-18,2.15,Growth,1,1,2094,6,9,3830,60,125,100,0.51,5,Power Tools,0,1,0,1,0,0,0,1,0,0,0,1
98761265,Jun-18,2.97,Growth,1,1,8169,16,8,740,52,125,336,0.75,4,Hilti Services,0,1,0,1,0,0,0,0,1,0,0,3
98761265,Jun-18,0.39,Growth,1,3,3513,10,9,1055,14,125,709,0.67,5,Contractor Services,0,1,0,1,0,0,0,0,0,1,0,2
